Year,State,FAH sales million nominal U.S. dollars without taxes and tips,FAFH sales million nominal U.S. dollars without taxes and tips,Total sales million nominal U.S. dollars without taxes and tips,FAH sales million constant 1988 U.S. dollars without taxes and tips,FAFH sales million constant 1988 U.S. dollars without taxes and tips,Total food sales million constant 1988 U.S. dollars without taxes and tips
2012,Alaska,"2,377.94","1,367.73","3,745.67","1,171.57",705.45,"1,877.03"
2013,Alaska,"2,336.26","1,424.40","3,760.67","1,140.83",719.53,"1,860.36"
2014,Alaska,"2,323.92","1,508.73","3,832.65","1,103.98",743.75,"1,847.73"
2015,Alaska,"2,272.76","1,633.45","3,906.20","1,061.87",782.73,"1,844.60"
2016,Alaska,"2,194.08","1,708.34","3,902.41","1,037.02",792.60,"1,829.62"
2017,Alaska,"2,377.71","1,772.93","4,150.63","1,127.30",796.46,"1,923.76"
2018,Alaska,"2,408.46","1,856.27","4,264.72","1,136.91",806.43,"1,943.34"
2019,Alaska,"2,498.20","1,958.93","4,457.13","1,161.57",821.81,"1,983.38"
2020,Alaska,"2,573.38","1,691.60","4,264.97","1,150.64",678.57,"1,829.21"
2021,Alaska,"2,720.00","2,154.61","4,874.61","1,165.37",824.13,"1,989.50"
2022,Alaska,"2,988.57","2,383.08","5,371.65","1,149.36",849.62,"1,998.98"
2023,Alaska,"2,994.85","2,606.02","5,600.86","1,100.83",864.68,"1,965.51"
1997,Arizona,"7,032.54","4,502.44","11,534.99","5,028.18","3,513.96","8,542.14"
1998,Arizona,"7,054.19","4,808.07","11,862.26","4,893.37","3,654.86","8,548.23"
1999,Arizona,"7,335.09","5,069.84","12,404.92","4,987.17","3,772.46","8,759.64"
2000,Arizona,"7,397.45","5,517.83","12,915.29","4,928.81","4,016.02","8,944.83"
2001,Arizona,"7,358.58","5,693.47","13,052.04","4,706.25","4,016.94","8,723.20"
2002,Arizona,"7,335.49","5,917.32","13,252.81","4,605.45","4,041.59","8,647.04"
2003,Arizona,"7,971.74","6,301.95","14,273.69","4,873.48","4,222.45","9,095.93"
2004,Arizona,"8,802.21","6,914.04","15,716.25","5,187.74","4,494.31","9,682.05"
2005,Arizona,"9,836.31","7,576.10","17,412.41","5,744.84","4,754.41","10,499.25"
2006,Arizona,"10,617.83","8,298.25","18,916.07","6,127.49","5,059.19","11,186.68"
2007,Arizona,"11,468.33","8,732.56","20,200.89","6,320.70","5,139.75","11,460.46"
2008,Arizona,"12,404.18","8,754.08","21,158.26","6,439.25","4,963.60","11,402.84"
2009,Arizona,"12,610.47","8,382.27","20,992.74","6,594.33","4,609.17","11,203.50"
2010,Arizona,"13,217.59","8,483.65","21,701.24","6,953.55","4,610.82","11,564.37"
2011,Arizona,"14,182.78","8,985.63","23,168.41","7,113.69","4,776.43","11,890.13"
2012,Arizona,"15,476.45","9,413.43","24,889.88","7,625.00","4,855.29","12,480.29"
2013,Arizona,"15,429.81","10,211.91","25,641.72","7,534.57","5,158.48","12,693.05"
2014,Arizona,"15,990.24","11,216.06","27,206.30","7,596.16","5,529.11","13,125.27"
2015,Arizona,"16,340.60","12,494.16","28,834.76","7,634.63","5,987.06","13,621.69"
2016,Arizona,"16,525.38","13,546.60","30,071.98","7,810.63","6,285.10","14,095.73"
2017,Arizona,"17,517.05","14,808.53","32,325.59","8,305.03","6,652.52","14,957.56"
2018,Arizona,"18,173.59","15,856.07","34,029.66","8,578.81","6,888.44","15,467.25"
2019,Arizona,"18,897.36","16,857.81","35,755.17","8,786.56","7,072.18","15,858.73"
2020,Arizona,"21,271.76","16,011.35","37,283.11","9,511.28","6,422.85","15,934.13"
2021,Arizona,"23,042.60","20,220.31","43,262.92","9,872.49","7,734.16","17,606.66"
2022,Arizona,"25,118.78","23,122.15","48,240.94","9,660.34","8,243.56","17,903.89"
2023,Arizona,"25,474.71","25,160.57","50,635.28","9,363.87","8,348.27","17,712.14"
1997,Arkansas,"2,917.97","1,822.21","4,740.18","2,170.16","1,399.24","3,569.40"
1998,Arkansas,"2,961.01","1,895.21","4,856.22","2,170.03","1,417.93","3,587.96"
1999,Arkansas,"3,185.32","1,975.30","5,160.62","2,297.96","1,442.58","3,740.55"
2000,Arkansas,"3,318.44","2,135.06","5,453.50","2,331.39","1,524.69","3,856.07"
2001,Arkansas,"3,469.19","2,257.53","5,726.72","2,369.56","1,570.01","3,939.56"
2002,Arkansas,"3,512.83","2,326.62","5,839.45","2,368.55","1,582.10","3,950.65"
2003,Arkansas,"3,632.11","2,412.23","6,044.34","2,397.19","1,602.05","3,999.23"
2004,Arkansas,"3,910.72","2,578.94","6,489.66","2,483.17","1,661.38","4,144.55"
2005,Arkansas,"4,151.86","2,735.52","6,887.39","2,583.73","1,712.68","4,296.41"
2006,Arkansas,"4,328.53","2,910.66","7,239.19","2,642.42","1,768.06","4,410.48"
2007,Arkansas,"4,504.94","3,010.10","7,515.04","2,639.41","1,768.08","4,407.49"
2008,Arkansas,"4,721.59","3,134.42","7,856.01","2,592.06","1,760.08","4,352.14"
2009,Arkansas,"4,625.41","3,162.59","7,788.00","2,520.07","1,713.69","4,233.76"
2010,Arkansas,"4,733.51","3,250.89","7,984.40","2,563.87","1,739.36","4,303.24"
2011,Arkansas,"4,954.09","3,447.88","8,401.97","2,552.69","1,804.63","4,357.31"
2012,Arkansas,"5,296.49","3,638.77","8,935.26","2,657.32","1,853.53","4,510.85"
2013,Arkansas,"5,437.35","3,825.73","9,263.08","2,695.95","1,905.04","4,600.99"
2014,Arkansas,"5,875.97","4,140.84","10,016.80","2,844.11","2,014.50","4,858.62"
2015,Arkansas,"6,229.65","4,594.47","10,824.11","2,984.50","2,169.00","5,153.50"
2016,Arkansas,"6,392.22","4,932.54","11,324.76","3,106.52","2,282.97","5,389.49"
2017,Arkansas,"6,998.60","5,266.84","12,265.44","3,408.78","2,389.58","5,798.36"
2018,Arkansas,"7,138.17","5,520.24","12,658.41","3,466.40","2,452.79","5,919.19"
2019,Arkansas,"7,203.99","5,799.10","13,003.09","3,474.45","2,499.84","5,974.29"
2020,Arkansas,"7,786.91","5,576.59","13,363.50","3,627.93","2,340.03","5,967.96"
2021,Arkansas,"8,446.96","6,836.55","15,283.51","3,804.76","2,761.93","6,566.68"
2022,Arkansas,"8,767.34","7,287.23","16,054.57","3,545.62","2,731.71","6,277.33"
2023,Arkansas,"8,904.56","7,745.73","16,650.29","3,418.43","2,710.76","6,129.19"
1997,California,"42,479.51","31,570.18","74,049.69","30,372.33","24,639.14","55,011.47"
1998,California,"43,018.28","33,386.07","76,404.35","29,841.05","25,378.50","55,219.55"
1999,California,"45,615.48","35,155.23","80,770.70","31,014.26","26,158.98","57,173.24"
2000,California,"47,148.46","38,135.09","85,283.55","31,414.31","27,755.67","59,169.98"
2001,California,"50,624.93","40,059.75","90,684.69","32,377.70","28,263.60","60,641.30"
2002,California,"52,982.89","41,845.43","94,828.33","33,264.34","28,580.86","61,845.20"
2003,California,"56,676.25","44,313.17","100,989.42","34,648.72","29,690.81","64,339.53"
2004,California,"59,003.40","47,603.61","106,607.01","34,774.66","30,943.63","65,718.30"
2005,California,"62,033.29","50,695.87","112,729.16","36,230.18","31,814.38","68,044.56"
2006,California,"64,643.18","54,593.75","119,236.93","37,305.24","33,284.13","70,589.36"
2007,California,"67,846.55","57,427.75","125,274.30","37,393.23","33,800.45","71,193.68"
2008,California,"69,558.77","58,732.33","128,291.09","36,109.29","33,301.46","69,410.75"
2009,California,"67,908.38","56,736.56","124,644.94","35,511.00","31,197.83","66,708.83"
2010,California,"69,009.02","58,153.61","127,162.63","36,304.45","31,606.23","67,910.67"
2011,California,"73,292.63","61,566.77","134,859.39","36,761.59","32,726.63","69,488.22"
2012,California,"76,624.55","65,486.21","142,110.77","37,751.68","33,776.71","71,528.38"
2013,California,"80,363.70","71,320.32","151,684.02","39,242.59","36,027.05","75,269.63"
2014,California,"84,826.37","79,277.64","164,104.00","40,296.74","39,080.99","79,377.73"
2015,California,"87,087.02","87,918.66","175,005.69","40,688.66","42,129.61","82,818.27"
2016,California,"89,367.84","95,131.65","184,499.50","42,239.20","44,137.43","86,376.63"
2017,California,"90,795.50","103,139.56","193,935.06","43,047.17","46,334.00","89,381.17"
2018,California,"94,851.04","110,526.41","205,377.44","44,774.26","48,016.62","92,790.88"
2019,California,"99,105.39","117,227.68","216,333.06","46,080.25","49,179.27","95,259.52"
2020,California,"109,548.09","99,113.80","208,661.89","48,982.42","39,758.89","88,741.31"
2021,California,"117,944.38","125,867.13","243,811.50","50,532.70","48,143.50","98,676.20"
2022,California,"131,693.19","152,860.84","284,554.03","50,647.38","54,498.27","105,145.66"
2023,California,"136,001.94","173,914.58","309,916.50","49,990.92","57,704.84","107,695.77"
1997,Colorado,"6,251.52","4,558.92","10,810.44","4,469.76","3,558.04","8,027.80"
1998,Colorado,"6,580.93","4,863.72","11,444.65","4,565.08","3,697.16","8,262.25"
1999,Colorado,"7,017.18","5,179.19","12,196.37","4,771.03","3,853.83","8,624.86"
2000,Colorado,"7,312.35","5,665.15","12,977.50","4,872.11","4,123.24","8,995.35"
2001,Colorado,"7,707.55","5,932.66","13,640.21","4,929.44","4,185.71","9,115.15"
2002,Colorado,"7,792.04","6,168.13","13,960.17","4,892.09","4,212.89","9,104.98"
2003,Colorado,"8,045.82","6,364.39","14,410.21","4,918.77","4,264.29","9,183.05"
2004,Colorado,"8,529.70","6,765.66","15,295.36","5,027.13","4,397.86","9,424.99"
2005,Colorado,"9,254.30","7,149.87","16,404.17","5,404.92","4,486.93","9,891.85"
2006,Colorado,"9,541.31","7,623.53","17,164.84","5,506.24","4,647.83","10,154.07"
2007,Colorado,"10,088.35","7,981.11","18,069.46","5,560.14","4,697.47","10,257.60"
2008,Colorado,"10,932.49","8,234.14","19,166.63","5,675.27","4,668.79","10,344.06"
2009,Colorado,"10,865.79","8,030.15","18,895.94","5,681.99","4,415.55","10,097.55"
2010,Colorado,"11,484.69","8,287.14","19,771.83","6,041.90","4,504.02","10,545.92"
2011,Colorado,"12,173.41","8,914.01","21,087.42","6,105.85","4,738.36","10,844.21"
2012,Colorado,"13,393.82","9,451.81","22,845.63","6,598.92","4,875.09","11,474.00"
2013,Colorado,"13,600.75","10,218.94","23,819.69","6,641.41","5,162.04","11,803.45"
2014,Colorado,"14,076.81","11,236.70","25,313.50","6,687.18","5,539.28","12,226.46"
2015,Colorado,"14,454.63","12,512.90","26,967.53","6,753.47","5,996.04","12,749.51"
2016,Colorado,"14,971.90","13,535.20","28,507.10","7,076.38","6,279.81","13,356.20"
2017,Colorado,"15,840.34","14,644.87","30,485.21","7,510.08","6,579.00","14,089.09"
2018,Colorado,"16,285.42","15,526.44","31,811.86","7,687.50","6,745.24","14,432.74"
2019,Colorado,"17,041.40","16,374.13","33,415.53","7,923.61","6,869.26","14,792.87"
2020,Colorado,"18,708.89","14,684.31","33,393.21","8,365.34","5,890.52","14,255.86"
2021,Colorado,"19,778.66","18,864.95","38,643.62","8,474.07","7,215.74","15,689.82"
2022,Colorado,"22,501.63","21,806.78","44,308.41","8,653.82","7,774.60","16,428.42"
2023,Colorado,"22,606.78","23,859.16","46,465.95","8,309.69","7,916.47","16,226.16"
1997,Connecticut,"5,279.92","3,037.35","8,317.27","3,897.71","2,405.52","6,303.23"
1998,Connecticut,"5,407.63","3,163.05","8,570.68","3,933.43","2,443.82","6,377.25"
1999,Connecticut,"5,726.51","3,374.65","9,101.16","4,078.12","2,534.50","6,612.62"
2000,Connecticut,"5,806.38","3,632.75","9,439.13","4,069.25","2,671.20","6,740.46"
2001,Connecticut,"6,094.82","3,745.59","9,840.41","4,139.75","2,674.82","6,814.56"
2002,Connecticut,"6,271.34","3,984.55","10,255.90","4,213.95","2,776.45","6,990.39"
2003,Connecticut,"6,250.33","4,213.25","10,463.58","4,107.07","2,875.57","6,982.63"
2004,Connecticut,"6,541.01","4,478.91","11,019.92","4,116.24","2,976.52","7,092.76"
2005,Connecticut,"6,664.51","4,715.71","11,380.22","4,085.92","3,047.37","7,133.29"
2006,Connecticut,"6,928.59","5,041.20","11,969.80","4,153.67","3,143.60","7,297.27"
2007,Connecticut,"7,199.74","5,318.37","12,518.12","4,154.05","3,182.17","7,336.22"
2008,Connecticut,"7,307.88","5,474.78","12,782.66","3,970.42","3,134.95","7,105.38"
2009,Connecticut,"7,065.08","5,364.90","12,429.98","3,800.97","2,970.84","6,771.81"
2010,Connecticut,"7,281.73","5,449.18","12,730.92","3,880.82","2,971.20","6,852.02"
2011,Connecticut,"7,679.96","5,773.44","13,453.40","3,924.24","3,072.58","6,996.82"
2012,Connecticut,"7,926.26","6,118.29","14,044.55","3,942.03","3,171.03","7,113.06"
2013,Connecticut,"7,979.28","6,441.92","14,421.19","3,935.55","3,283.44","7,218.99"
2014,Connecticut,"8,195.00","6,871.73","15,066.72","3,974.10","3,427.04","7,401.14"
2015,Connecticut,"8,097.37","7,269.94","15,367.30","3,873.31","3,543.24","7,416.54"
2016,Connecticut,"8,065.49","7,636.70","15,702.19","3,910.36","3,625.48","7,535.83"
2017,Connecticut,"8,120.65","8,096.53","16,217.18","3,931.01","3,755.40","7,686.41"
2018,Connecticut,"8,328.33","8,622.15","16,950.48","3,982.45","3,891.70","7,874.15"
2019,Connecticut,"8,483.13","8,896.91","17,380.04","4,024.24","3,903.78","7,928.02"
2020,Connecticut,"8,860.08","7,416.17","16,276.24","4,063.80","3,140.49","7,204.29"
2021,Connecticut,"9,459.43","9,658.60","19,118.03","4,239.17","3,904.12","8,143.29"
2022,Connecticut,"10,509.25","11,306.17","21,815.43","4,276.74","4,275.65","8,552.39"
2023,Connecticut,"10,531.23","12,262.01","22,793.24","4,090.12","4,339.14","8,429.26"
1997,Delaware,"1,027.29",843.18,"1,870.47",764.02,647.46,"1,411.48"
1998,Delaware,"1,065.50",885.32,"1,950.83",780.87,662.37,"1,443.24"
1999,Delaware,"1,176.54",922.96,"2,099.50",848.79,674.04,"1,522.83"
2000,Delaware,"1,248.80",998.13,"2,246.93",877.35,712.78,"1,590.14"
2001,Delaware,"1,304.25","1,043.75","2,348.00",890.84,725.88,"1,616.72"
2002,Delaware,"1,319.87","1,090.55","2,410.42",889.93,741.57,"1,631.50"
2003,Delaware,"1,407.85","1,163.38","2,571.23",929.18,772.64,"1,701.82"
2004,Delaware,"1,539.20","1,275.68","2,814.88",977.34,821.81,"1,799.14"
2005,Delaware,"1,646.79","1,351.90","2,998.70","1,024.81",846.41,"1,871.22"
2006,Delaware,"1,772.39","1,420.93","3,193.32","1,081.98",863.14,"1,945.12"
2007,Delaware,"1,878.27","1,484.85","3,363.11","1,100.46",872.17,"1,972.63"
2008,Delaware,"1,944.29","1,522.23","3,466.52","1,067.38",854.78,"1,922.16"
2009,Delaware,"1,871.78","1,503.30","3,375.08","1,019.80",814.58,"1,834.38"
2010,Delaware,"1,882.37","1,546.37","3,428.74","1,019.57",827.37,"1,846.95"
2011,Delaware,"1,955.80","1,613.13","3,568.92","1,007.76",844.31,"1,852.07"
2012,Delaware,"2,102.85","1,667.66","3,770.51","1,055.03",849.48,"1,904.51"
2013,Delaware,"2,134.52","1,770.56","3,905.07","1,058.34",881.65,"1,939.99"
2014,Delaware,"2,136.65","1,883.87","4,020.53","1,034.19",916.50,"1,950.69"
2015,Delaware,"2,034.94","2,051.84","4,086.77",974.90,968.65,"1,943.55"
2016,Delaware,"1,985.72","2,167.38","4,153.10",965.03,"1,003.15","1,968.18"
2017,Delaware,"2,162.98","2,291.50","4,454.48","1,053.51","1,039.66","2,093.17"
2018,Delaware,"2,224.31","2,434.46","4,658.77","1,080.16","1,081.70","2,161.85"
2019,Delaware,"2,238.72","2,563.53","4,802.25","1,079.72","1,105.07","2,184.80"
2020,Delaware,"2,388.82","2,206.46","4,595.28","1,112.95",925.87,"2,038.82"
2021,Delaware,"2,630.55","2,852.53","5,483.08","1,184.88","1,152.40","2,337.28"
2022,Delaware,"2,991.23","3,247.06","6,238.29","1,209.69","1,217.20","2,426.89"
2023,Delaware,"3,071.72","3,559.44","6,631.16","1,179.22","1,245.69","2,424.91"
1997,District of Columbia,618.58,"1,491.11","2,109.69",460.05,"1,144.99","1,605.04"
1998,District of Columbia,599.09,"1,491.80","2,090.88",439.05,"1,116.11","1,555.16"
1999,District of Columbia,597.82,"1,513.14","2,110.97",431.29,"1,105.06","1,536.35"
2000,District of Columbia,599.50,"1,731.72","2,331.21",421.18,"1,236.65","1,657.83"
2001,District of Columbia,616.50,"1,668.93","2,285.43",421.08,"1,160.67","1,581.75"
2002,District of Columbia,615.70,"1,654.29","2,269.98",415.14,"1,124.92","1,540.05"
2003,District of Columbia,673.98,"1,773.84","2,447.81",444.83,"1,178.07","1,622.89"
2004,District of Columbia,709.65,"1,934.88","2,644.53",450.60,"1,246.47","1,697.07"
2005,District of Columbia,677.11,"2,131.30","2,808.41",421.37,"1,334.38","1,755.75"
2006,District of Columbia,728.96,"2,270.85","2,999.81",445.00,"1,379.42","1,824.42"
2007,District of Columbia,773.22,"2,425.49","3,198.71",453.02,"1,424.69","1,877.71"
2008,District of Columbia,831.59,"2,536.04","3,367.63",456.53,"1,424.07","1,880.59"
2009,District of Columbia,829.58,"2,531.03","3,360.61",451.98,"1,371.47","1,823.45"
2010,District of Columbia,876.78,"2,614.98","3,491.77",474.90,"1,399.13","1,874.03"
2011,District of Columbia,925.64,"2,779.67","3,705.31",476.95,"1,454.88","1,931.84"
2012,District of Columbia,941.82,"2,991.03","3,932.85",472.52,"1,523.58","1,996.11"
2013,District of Columbia,996.79,"3,069.64","4,066.43",494.23,"1,528.54","2,022.77"
2014,District of Columbia,"1,157.84","3,265.96","4,423.79",560.42,"1,588.88","2,149.30"
2015,District of Columbia,"1,238.12","3,585.56","4,823.69",593.16,"1,692.71","2,285.87"
2016,District of Columbia,"1,278.19","3,750.06","5,028.24",621.18,"1,735.67","2,356.85"
2017,District of Columbia,"1,365.64","3,955.36","5,321.00",665.16,"1,794.56","2,459.72"
2018,District of Columbia,"1,409.08","4,153.85","5,562.93",684.27,"1,845.67","2,529.94"
2019,District of Columbia,"1,449.81","4,373.18","5,823.00",699.24,"1,885.16","2,584.40"
2020,District of Columbia,"1,483.76","2,809.10","4,292.86",691.28,"1,178.75","1,870.03"
2021,District of Columbia,"1,617.94","3,533.73","5,151.67",728.77,"1,427.61","2,156.37"
2022,District of Columbia,"2,102.37","4,906.96","7,009.33",850.22,"1,839.44","2,689.66"
2023,District of Columbia,"2,252.62","6,091.04","8,343.66",864.77,"2,131.67","2,996.44"
1997,Florida,"22,184.99","15,604.35","37,789.34","16,499.46","11,982.26","28,481.72"
1998,Florida,"23,211.32","16,506.36","39,717.67","17,010.83","12,349.50","29,360.33"
1999,Florida,"24,750.67","17,371.13","42,121.80","17,855.73","12,686.32","30,542.04"
2000,Florida,"25,821.56","18,623.60","44,445.16","18,141.06","13,299.47","31,440.53"
2001,Florida,"26,979.86","19,696.88","46,676.73","18,428.00","13,698.28","32,126.28"
2002,Florida,"26,933.62","20,592.56","47,526.18","18,160.15","14,002.94","32,163.09"
2003,Florida,"28,113.12","21,774.02","49,887.14","18,554.66","14,460.88","33,015.54"
2004,Florida,"30,773.76","24,095.70","54,869.45","19,540.24","15,522.70","35,062.94"
2005,Florida,"32,516.02","26,023.83","58,539.85","20,234.91","16,293.18","36,528.09"
2006,Florida,"34,832.56","27,700.61","62,533.18","21,264.06","16,826.58","38,090.64"
2007,Florida,"36,656.80","29,145.40","65,802.20","21,476.96","17,119.43","38,596.39"
2008,Florida,"38,043.06","30,081.17","68,124.23","20,884.90","16,891.55","37,776.45"
2009,Florida,"36,633.45","29,179.66","65,813.12","19,959.07","15,811.33","35,770.41"
2010,Florida,"37,815.52","30,261.46","68,076.97","20,482.52","16,191.16","36,673.67"
2011,Florida,"40,284.88","32,690.61","72,975.48","20,757.53","17,110.30","37,867.83"
2012,Florida,"42,791.08","35,202.88","77,993.96","21,468.87","17,931.80","39,400.67"
2013,Florida,"43,725.18","37,847.21","81,572.39","21,679.86","18,846.16","40,526.02"
2014,Florida,"45,931.03","41,488.91","87,419.94","22,231.77","20,184.19","42,415.96"
2015,Florida,"47,246.61","45,889.56","93,136.16","22,634.91","21,663.97","44,298.88"
2016,Florida,"48,211.91","49,277.34","97,489.25","23,430.23","22,807.46","46,237.69"
2017,Florida,"49,980.40","52,584.11","102,564.52","24,343.77","23,857.57","48,201.34"
2018,Florida,"52,260.13","55,644.89","107,905.02","25,378.27","24,724.51","50,102.78"
2019,Florida,"54,636.87","58,957.54","113,594.41","26,351.09","25,415.06","51,766.15"
2020,Florida,"58,875.12","52,032.13","110,907.25","27,429.95","21,833.54","49,263.48"
2021,Florida,"63,651.64","67,047.13","130,698.77","28,670.57","27,086.62","55,757.18"
2022,Florida,"72,329.21","76,690.08","149,019.28","29,250.78","28,748.30","57,999.08"
2023,Florida,"75,213.66","83,713.16","158,926.81","28,874.29","29,296.95","58,171.24"
1997,Georgia,"10,037.99","7,569.60","17,607.59","7,465.47","5,812.54","13,278.01"
1998,Georgia,"10,254.90","8,064.15","18,319.05","7,515.49","6,033.32","13,548.81"
1999,Georgia,"10,855.66","8,652.23","19,507.89","7,831.54","6,318.81","14,150.35"
2000,Georgia,"11,431.26","9,388.50","20,819.76","8,031.09","6,704.51","14,735.59"
2001,Georgia,"11,501.46","9,689.21","21,190.67","7,855.82","6,738.40","14,594.22"
2002,Georgia,"11,303.80","10,238.40","21,542.20","7,621.65","6,962.11","14,583.76"
2003,Georgia,"11,873.70","10,814.30","22,688.00","7,836.64","7,182.15","15,018.79"
2004,Georgia,"12,573.04","11,535.98","24,109.02","7,983.43","7,431.60","15,415.03"
2005,Georgia,"14,440.64","12,161.57","26,602.20","8,986.50","7,614.20","16,600.70"
2006,Georgia,"15,466.72","12,854.45","28,321.17","9,441.90","7,808.36","17,250.25"
2007,Georgia,"16,470.84","13,422.77","29,893.62","9,650.15","7,884.27","17,534.42"
2008,Georgia,"17,268.13","13,734.71","31,002.84","9,479.87","7,712.48","17,192.35"
2009,Georgia,"16,938.65","13,437.73","30,376.38","9,228.72","7,281.39","16,510.11"
2010,Georgia,"17,561.46","13,678.12","31,239.58","9,512.05","7,318.37","16,830.42"
2011,Georgia,"19,022.31","14,560.86","33,583.17","9,801.60","7,621.17","17,422.77"
2012,Georgia,"20,348.39","15,393.30","35,741.69","10,209.06","7,841.11","18,050.17"
2013,Georgia,"21,204.03","16,628.54","37,832.57","10,513.40","8,280.24","18,793.64"
2014,Georgia,"22,383.00","18,203.71","40,586.71","10,833.94","8,856.03","19,689.97"
2015,Georgia,"22,754.90","20,045.42","42,800.32","10,901.42","9,463.23","20,364.65"
2016,Georgia,"23,256.15","21,619.00","44,875.15","11,302.13","10,006.11","21,308.23"
2017,Georgia,"24,646.33","23,285.22","47,931.55","12,004.40","10,564.58","22,568.97"
2018,Georgia,"25,454.87","24,534.00","49,988.86","12,361.25","10,901.11","23,262.36"
2019,Georgia,"26,362.09","25,933.23","52,295.32","12,714.30","11,179.14","23,893.45"
2020,Georgia,"28,533.19","23,757.92","52,291.11","13,293.63","9,969.21","23,262.84"
2021,Georgia,"30,636.08","28,984.96","59,621.04","13,799.39","11,709.74","25,509.13"
2022,Georgia,"32,992.43","32,379.40","65,371.84","13,342.53","12,137.85","25,480.38"
2023,Georgia,"33,953.99","34,974.54","68,928.53","13,034.83","12,239.98","25,274.81"
1997,Hawaii,"1,848.20","2,245.82","4,094.02","1,321.44","1,752.77","3,074.20"
1998,Hawaii,"1,827.14","2,308.63","4,135.77","1,267.46","1,754.91","3,022.37"
1999,Hawaii,"1,860.72","2,390.71","4,251.43","1,265.12","1,778.92","3,044.04"
