Year,State,FAH sales per capita nominal U.S. dollars without taxes and tips,FAFH sales per capita nominal U.S. dollars without taxes and tips,Total sales per capita nominal U.S. dollars without taxes and tips,FAH sales per capita constant 1988 U.S. dollars without taxes and tips,FAFH sales per capita constant 1988 U.S. dollars without taxes and tips,Total sales per capita constant 1988 U.S. dollars without taxes and tips
2009,Colorado,"2,185.31","1,615.01","3,800.32","1,142.75",888.05,"2,030.80"
2010,Colorado,"2,275.30","1,641.82","3,917.12","1,197.00",892.32,"2,089.32"
2011,Colorado,"2,376.74","1,740.37","4,117.11","1,192.11",925.12,"2,117.22"
2012,Colorado,"2,578.88","1,819.87","4,398.75","1,270.57",938.66,"2,209.23"
2013,Colorado,"2,580.41","1,938.79","4,519.20","1,260.04",979.37,"2,239.42"
2014,Colorado,"2,629.88","2,099.28","4,729.17","1,249.32","1,034.87","2,284.19"
2015,Colorado,"2,650.12","2,294.12","4,944.24","1,238.19","1,099.32","2,337.50"
2016,Colorado,"2,700.63","2,441.48","5,142.12","1,276.44","1,132.75","2,409.19"
2017,Colorado,"2,819.86","2,607.05","5,426.91","1,336.93","1,171.18","2,508.11"
2018,Colorado,"2,858.52","2,725.30","5,583.82","1,349.36","1,183.97","2,533.32"
2019,Colorado,"2,959.35","2,843.48","5,802.83","1,375.99","1,192.89","2,568.88"
2020,Colorado,"3,233.91","2,538.25","5,772.16","1,445.98","1,018.20","2,464.19"
2021,Colorado,"3,403.31","3,246.09","6,649.40","1,458.13","1,241.61","2,699.74"
2022,Colorado,"3,852.33","3,733.37","7,585.71","1,481.55","1,331.03","2,812.58"
2023,Colorado,"3,846.25","4,059.33","7,905.58","1,413.79","1,346.89","2,760.67"
1997,Connecticut,"1,615.39",929.27,"2,544.66","1,192.50",735.97,"1,928.47"
1998,Connecticut,"1,652.42",966.54,"2,618.95","1,201.94",746.76,"1,948.70"
1999,Connecticut,"1,744.81","1,028.22","2,773.03","1,242.56",772.24,"2,014.80"
2000,Connecticut,"1,701.86","1,064.77","2,766.63","1,192.71",782.94,"1,975.64"
2001,Connecticut,"1,775.45","1,091.11","2,866.56","1,205.93",779.19,"1,985.11"
2002,Connecticut,"1,813.18","1,152.02","2,965.20","1,218.34",802.73,"2,021.08"
2003,Connecticut,"1,793.84","1,209.20","3,003.04","1,178.72",825.28,"2,004.01"
2004,Connecticut,"1,870.95","1,281.12","3,152.07","1,177.38",851.38,"2,028.77"
2005,Connecticut,"1,900.37","1,344.67","3,245.04","1,165.09",868.95,"2,034.04"
2006,Connecticut,"1,969.77","1,433.19","3,402.97","1,180.87",893.71,"2,074.58"
2007,Connecticut,"2,041.17","1,507.79","3,548.95","1,177.70",902.16,"2,079.86"
2008,Connecticut,"2,061.12","1,544.12","3,605.24","1,119.82",884.19,"2,004.01"
2009,Connecticut,"1,983.57","1,506.23","3,489.80","1,067.15",834.08,"1,901.23"
2010,Connecticut,"2,034.47","1,522.47","3,556.94","1,084.28",830.13,"1,914.41"
2011,Connecticut,"2,140.08","1,608.81","3,748.89","1,093.52",856.20,"1,949.72"
2012,Connecticut,"2,204.67","1,701.79","3,906.46","1,096.47",882.02,"1,978.48"
2013,Connecticut,"2,219.06","1,791.51","4,010.57","1,094.49",913.14,"2,007.62"
2014,Connecticut,"2,279.11","1,911.10","4,190.21","1,105.24",953.09,"2,058.33"
2015,Connecticut,"2,256.44","2,025.86","4,282.30","1,079.35",987.37,"2,066.72"
2016,Connecticut,"2,253.04","2,133.26","4,386.30","1,092.33","1,012.75","2,105.08"
2017,Connecticut,"2,271.30","2,264.56","4,535.86","1,099.48","1,050.36","2,149.85"
2018,Connecticut,"2,329.89","2,412.09","4,741.98","1,114.11","1,088.72","2,202.83"
2019,Connecticut,"2,378.88","2,494.91","4,873.79","1,128.50","1,094.72","2,223.21"
2020,Connecticut,"2,476.55","2,072.95","4,549.50","1,135.91",877.82,"2,013.73"
2021,Connecticut,"2,624.93","2,680.20","5,305.12","1,176.34","1,083.37","2,259.71"
2022,Connecticut,"2,912.19","3,133.03","6,045.22","1,185.12","1,184.81","2,369.93"
2023,Connecticut,"2,911.45","3,389.94","6,301.39","1,130.75","1,199.59","2,330.34"
1997,Delaware,"1,397.62","1,147.15","2,544.77","1,039.44",880.87,"1,920.32"
1998,Delaware,"1,432.00","1,189.85","2,621.84","1,049.46",890.20,"1,939.67"
1999,Delaware,"1,561.36","1,224.83","2,786.19","1,126.40",894.51,"2,020.91"
2000,Delaware,"1,588.06","1,269.28","2,857.34","1,115.70",906.42,"2,022.12"
2001,Delaware,"1,639.13","1,311.74","2,950.87","1,119.57",912.26,"2,031.82"
2002,Delaware,"1,637.22","1,352.75","2,989.97","1,103.90",919.87,"2,023.78"
2003,Delaware,"1,721.08","1,422.21","3,143.30","1,135.91",944.54,"2,080.46"
2004,Delaware,"1,852.67","1,535.48","3,388.14","1,176.38",989.17,"2,165.55"
2005,Delaware,"1,948.52","1,599.60","3,548.12","1,212.58","1,001.49","2,214.07"
2006,Delaware,"2,062.67","1,653.65","3,716.32","1,259.19","1,004.50","2,263.69"
2007,Delaware,"2,154.60","1,703.30","3,857.89","1,262.36","1,000.48","2,262.84"
2008,Delaware,"2,199.74","1,722.22","3,921.96","1,207.61",967.08,"2,174.70"
2009,Delaware,"2,099.04","1,685.82","3,784.87","1,143.62",913.48,"2,057.11"
2010,Delaware,"2,092.34","1,718.86","3,811.20","1,133.30",919.66,"2,052.97"
2011,Delaware,"2,154.94","1,777.37","3,932.31","1,110.37",930.28,"2,040.65"
2012,Delaware,"2,296.90","1,821.55","4,118.44","1,152.38",927.87,"2,080.25"
2013,Delaware,"2,309.93","1,916.06","4,225.98","1,145.31",954.11,"2,099.42"
2014,Delaware,"2,289.77","2,018.87","4,308.64","1,108.31",982.17,"2,090.48"
2015,Delaware,"2,160.08","2,178.02","4,338.10","1,034.85","1,028.22","2,063.07"
2016,Delaware,"2,090.26","2,281.48","4,371.74","1,015.83","1,055.96","2,071.79"
2017,Delaware,"2,257.94","2,392.11","4,650.05","1,099.77","1,085.31","2,185.07"
2018,Delaware,"2,300.25","2,517.58","4,817.83","1,117.04","1,118.63","2,235.66"
2019,Delaware,"2,292.20","2,624.78","4,916.98","1,105.52","1,131.47","2,236.99"
2020,Delaware,"2,408.42","2,224.57","4,632.98","1,122.08",933.46,"2,055.55"
2021,Delaware,"2,617.78","2,838.68","5,456.45","1,179.12","1,146.81","2,325.93"
2022,Delaware,"2,934.13","3,185.08","6,119.21","1,186.60","1,193.97","2,380.57"
2023,Delaware,"2,976.79","3,449.44","6,426.22","1,142.78","1,207.19","2,349.97"
1997,District of Columbia,"1,169.88","2,820.05","3,989.94",870.07,"2,165.46","3,035.53"
1998,District of Columbia,"1,148.94","2,860.99","4,009.93",842.02,"2,140.50","2,982.52"
1999,District of Columbia,"1,151.88","2,915.50","4,067.38",830.99,"2,129.22","2,960.21"
2000,District of Columbia,"1,047.98","3,027.23","4,075.22",736.27,"2,161.81","2,898.07"
2001,District of Columbia,"1,073.09","2,905.00","3,978.09",732.95,"2,020.29","2,753.25"
2002,District of Columbia,"1,074.22","2,886.27","3,960.48",724.30,"1,962.66","2,686.96"
2003,District of Columbia,"1,185.53","3,120.19","4,305.73",782.45,"2,072.23","2,854.68"
2004,District of Columbia,"1,249.92","3,407.96","4,657.88",793.66,"2,195.44","2,989.10"
2005,District of Columbia,"1,193.92","3,758.00","4,951.91",742.98,"2,352.83","3,095.81"
2006,District of Columbia,"1,277.34","3,979.20","5,256.54",779.77,"2,417.14","3,196.91"
2007,District of Columbia,"1,346.12","4,222.62","5,568.75",788.68,"2,480.29","3,268.97"
2008,District of Columbia,"1,433.19","4,370.70","5,803.89",786.79,"2,454.29","3,241.08"
2009,District of Columbia,"1,400.78","4,273.75","5,674.53",763.19,"2,315.78","3,078.97"
2010,District of Columbia,"1,448.55","4,320.28","5,768.83",784.60,"2,311.53","3,096.13"
2011,District of Columbia,"1,492.28","4,481.24","5,973.51",768.92,"2,345.48","3,114.41"
2012,District of Columbia,"1,481.46","4,704.82","6,186.29",743.27,"2,396.56","3,139.83"
2013,District of Columbia,"1,529.85","4,711.23","6,241.07",758.53,"2,345.97","3,104.50"
2014,District of Columbia,"1,744.77","4,921.55","6,666.32",844.51,"2,394.32","3,238.83"
2015,District of Columbia,"1,828.80","5,296.14","7,124.94",876.14,"2,500.25","3,376.39"
2016,District of Columbia,"1,858.98","5,454.02","7,313.00",903.43,"2,524.33","3,427.77"
2017,District of Columbia,"1,959.09","5,674.19","7,633.29",954.21,"2,574.40","3,528.61"
2018,District of Columbia,"2,001.12","5,899.12","7,900.24",971.77,"2,621.14","3,592.91"
2019,District of Columbia,"2,047.03","6,174.60","8,221.63",987.27,"2,661.71","3,648.98"
2020,District of Columbia,"2,211.80","4,187.45","6,399.24","1,030.48","1,757.12","2,787.60"
2021,District of Columbia,"2,418.32","5,281.82","7,700.13","1,089.28","2,133.82","3,223.10"
2022,District of Columbia,"3,133.43","7,313.46","10,446.88","1,267.19","2,741.55","4,008.74"
2023,District of Columbia,"3,317.69","8,970.97","12,288.66","1,273.65","3,139.55","4,413.21"
1997,Florida,"1,510.89","1,062.72","2,573.62","1,123.68",816.04,"1,939.73"
1998,Florida,"1,556.95","1,107.20","2,664.14","1,141.04",828.37,"1,969.40"
1999,Florida,"1,637.90","1,149.55","2,787.45","1,181.62",839.53,"2,021.15"
2000,Florida,"1,609.07","1,160.53","2,769.60","1,130.46",828.76,"1,959.21"
2001,Florida,"1,649.44","1,204.19","2,853.63","1,126.61",837.46,"1,964.07"
2002,Florida,"1,613.82","1,233.87","2,847.69","1,088.13",839.03,"1,927.16"
2003,Florida,"1,653.32","1,280.52","2,933.83","1,091.19",850.44,"1,941.62"
2004,Florida,"1,767.05","1,383.59","3,150.64","1,122.01",891.32,"2,013.34"
2005,Florida,"1,822.44","1,458.57","3,281.01","1,134.11",913.19,"2,047.31"
2006,Florida,"1,917.35","1,524.78","3,442.13","1,170.48",926.22,"2,096.70"
2007,Florida,"1,995.71","1,586.76","3,582.47","1,169.27",932.03,"2,101.30"
2008,Florida,"2,053.35","1,623.61","3,676.96","1,127.25",911.71,"2,038.96"
2009,Florida,"1,963.98","1,564.37","3,528.35","1,070.04",847.67,"1,917.71"
2010,Florida,"2,006.54","1,605.71","3,612.25","1,086.83",859.12,"1,945.95"
2011,Florida,"2,114.07","1,715.54","3,829.61","1,089.31",897.91,"1,987.23"
2012,Florida,"2,216.92","1,823.79","4,040.72","1,112.26",929.01,"2,041.27"
2013,Florida,"2,236.39","1,935.75","4,172.14","1,108.85",963.92,"2,072.76"
2014,Florida,"2,313.45","2,089.71","4,403.17","1,119.77","1,016.64","2,136.41"
2015,Florida,"2,336.73","2,269.61","4,606.34","1,119.48","1,071.46","2,190.94"
2016,Florida,"2,337.29","2,388.95","4,726.24","1,135.89","1,105.70","2,241.58"
2017,Florida,"2,382.62","2,506.74","4,889.36","1,160.49","1,137.32","2,297.81"
2018,Florida,"2,458.73","2,617.98","5,076.71","1,193.99","1,163.24","2,357.23"
2019,Florida,"2,542.19","2,743.22","5,285.41","1,226.09","1,182.53","2,408.62"
2020,Florida,"2,726.80","2,409.87","5,136.66","1,270.42","1,011.22","2,281.64"
2021,Florida,"2,915.69","3,071.23","5,986.92","1,313.31","1,240.76","2,554.07"
2022,Florida,"3,251.41","3,447.44","6,698.84","1,314.91","1,292.32","2,607.23"
2023,Florida,"3,326.46","3,702.36","7,028.82","1,277.02","1,295.71","2,572.73"
1997,Georgia,"1,340.89","1,011.15","2,352.04",997.25,776.45,"1,773.69"
1998,Georgia,"1,342.88","1,056.00","2,398.87",984.15,790.06,"1,774.21"
1999,Georgia,"1,393.85","1,110.94","2,504.79","1,005.56",811.33,"1,816.89"
2000,Georgia,"1,389.43","1,141.14","2,530.57",976.15,814.91,"1,791.06"
2001,Georgia,"1,372.97","1,156.64","2,529.61",937.78,804.39,"1,742.17"
2002,Georgia,"1,328.57","1,203.35","2,531.92",895.80,818.28,"1,714.07"
2003,Georgia,"1,377.01","1,254.15","2,631.17",908.83,832.93,"1,741.76"
2004,Georgia,"1,433.76","1,315.50","2,749.27",910.39,847.46,"1,757.85"
2005,Georgia,"1,617.83","1,362.50","2,980.33","1,006.79",853.04,"1,859.83"
2006,Georgia,"1,689.28","1,403.97","3,093.24","1,031.25",852.83,"1,884.08"
2007,Georgia,"1,761.59","1,435.59","3,197.18","1,032.10",843.24,"1,875.34"
2008,Georgia,"1,816.77","1,445.02","3,261.79",997.37,811.43,"1,808.80"
2009,Georgia,"1,760.62","1,396.73","3,157.35",959.24,756.83,"1,716.08"
2010,Georgia,"1,808.18","1,408.34","3,216.53",979.39,753.52,"1,732.91"
2011,Georgia,"1,940.33","1,485.25","3,425.59",999.79,777.38,"1,777.18"
2012,Georgia,"2,054.65","1,554.32","3,608.97","1,030.85",791.74,"1,822.59"
2013,Georgia,"2,125.59","1,666.92","3,792.51","1,053.91",830.05,"1,883.96"
2014,Georgia,"2,222.48","1,807.50","4,029.98","1,075.73",879.34,"1,955.08"
2015,Georgia,"2,234.52","1,968.45","4,202.97","1,070.51",929.28,"1,999.80"
2016,Georgia,"2,256.03","2,097.21","4,353.24","1,096.40",970.67,"2,067.07"
2017,Georgia,"2,365.96","2,235.30","4,601.27","1,152.38","1,014.16","2,166.55"
2018,Georgia,"2,419.80","2,332.26","4,752.07","1,175.09","1,036.29","2,211.38"
2019,Georgia,"2,480.43","2,440.08","4,920.51","1,196.30","1,051.86","2,248.16"
2020,Georgia,"2,658.61","2,213.67","4,872.27","1,238.65",928.89,"2,167.54"
2021,Georgia,"2,839.20","2,686.18","5,525.39","1,278.86","1,085.20","2,364.06"
2022,Georgia,"3,023.18","2,967.01","5,990.19","1,222.61","1,112.22","2,334.83"
2023,Georgia,"3,078.55","3,171.08","6,249.63","1,181.84","1,109.78","2,291.62"
1997,Hawaii,"1,553.99","1,888.32","3,442.31","1,111.09","1,473.75","2,584.84"
1998,Hawaii,"1,534.80","1,939.26","3,474.06","1,064.67","1,474.13","2,538.80"
1999,Hawaii,"1,569.57","2,016.63","3,586.20","1,067.16","1,500.57","2,567.74"
2000,Hawaii,"1,576.81","2,141.47","3,718.29","1,050.61","1,558.62","2,609.22"
2001,Hawaii,"1,653.61","2,132.29","3,785.91","1,057.59","1,504.41","2,562.00"
2002,Hawaii,"1,699.11","2,126.67","3,825.78","1,066.75","1,452.54","2,519.29"
2003,Hawaii,"1,714.90","2,238.21","3,953.11","1,048.39","1,499.65","2,548.05"
2004,Hawaii,"1,787.67","2,398.41","4,186.07","1,053.59","1,559.03","2,612.62"
